i,kappa,V0,VT,ST,S0,K_payoff,payoff,alpha_step,beta_step
0,0.005,[159.20028847],[158.96931234],[687.55230713],[687.10351562],[687.10351562],[28.22606356],0.9414570410322128,1.1050194055995686
1,0.005,[157.26174192],[162.07431768],[683.53326416],[678.73638916],[678.73638916],[29.75129241],0.9414570410322128,1.1050194055995686
2,0.005,[152.66064073],[163.97509074],[672.63995361],[658.87835693],[658.87835693],[32.78959053],0.9414570410322128,1.1050194055995686
3,0.005,[154.65588835],[149.54569425],[656.34277344],[667.48931885],[667.48931885],[22.44801769],0.9414570410322128,1.1050194055995686
4,0.005,[153.63079775],[155.88727477],[667.49926758],[663.0645752],[663.0645752],[28.95640953],0.9414570410322128,1.1050194055995686
5,0.005,[146.01714384],[167.84935621],[659.94232178],[630.20446777],[630.20446777],[38.47821134],0.9414570410322128,1.1050194055995686
6,0.005,[145.70900862],[147.73583177],[632.74291992],[628.87579346],[628.87579346],[27.31787612],0.9414570410322128,1.1050194055995686
7,0.005,[137.88383314],[159.12328133],[623.57073975],[595.10223389],[595.10223389],[36.50113934],0.9414570410322128,1.1050194055995686
8,0.005,[133.5169584],[142.96841319],[589.28161621],[576.25408936],[576.25408936],[29.10344013],0.9414570410322128,1.1050194055995686
9,0.005,[120.77817495],[173.21020972],[586.13079834],[521.27435303],[521.27435303],[67.7870993],0.9414570410322128,1.1050194055995686
10,0.005,[62.15427875],[60.61850137],[508.05584717],[557.5880127],[557.5880127],[0.],0.9701965262934844,1.0248655856782156
11,0.005,[67.06608296],[40.84141936],[557.4041748],[601.65228271],[601.65228271],[0.],0.9701965262934844,1.0248655856782156
12,0.005,[66.26072521],[71.95240895],[604.16583252],[594.42706299],[594.42706299],[15.76382366],0.9701965262934844,1.0248655856782156
13,0.005,[66.36543762],[59.18470783],[589.03533936],[593.65130615],[593.65130615],[6.33988809],0.9708762995705579,1.0248655856782156
14,0.005,[64.32930265],[80.5484516],[596.10736084],[575.43768311],[575.43768311],[23.65021454],0.9708762995705579,1.0248655856782156
15,0.005,[61.23501371],[67.71337699],[582.90393066],[572.09759521],[572.09759521],[15.8606255],0.9708762995705579,1.0231173732082433
16,0.005,[58.85158524],[76.06743011],[572.04846191],[549.83001709],[549.83001709],[25.07868713],0.9708762995705579,1.0231173732082433
17,0.005,[58.66394667],[59.2363685],[551.46557617],[548.07684326],[548.07684326],[10.54074627],0.9708762995705579,1.0231173732082433
18,0.005,[57.38281415],[57.49733304],[542.88598633],[537.67572021],[537.67572021],[9.51127502],0.9834716189411147,1.02069560214828
19,0.005,[57.14621315],[61.26700764],[541.27008057],[535.45861816],[535.45861816],[9.83963396],0.9834716189411147,1.02069560214828
20,0.005,[55.1624469],[68.56619522],[534.1015625],[516.87091064],[516.87091064],[19.90115967],0.9834716189411147,1.02069560214828
21,0.005,[52.04412459],[77.8107445],[516.12890625],[487.65206909],[487.65206909],[31.05748169],0.9834716189411147,1.02069560214828
22,0.005,[53.52747857],[47.60235186],[488.65753174],[503.45736694],[503.45736694],[0.],0.9829534180135924,1.02069560214828
23,0.005,[50.03023739],[62.20493717],[500.67507935],[486.13192749],[486.13192749],[17.04652725],0.9799391725677645,1.0199080530913833
24,0.005,[47.72456295],[70.30503558],[488.56488037],[463.72839355],[463.72839355],[27.27931122],0.9799391725677645,1.0199080530913833
25,0.005,[49.28871712],[51.63136992],[459.64083862],[456.76016235],[456.76016235],[8.3430725],0.9755384425186228,1.0229319249332511
26,0.005,[54.96824957],[72.75129102],[457.51339722],[435.86920166],[435.86920166],[23.93176254],0.9755384425186228,1.0315003495948123
27,0.005,[69.70703718],[77.41850234],[434.94845581],[422.62875366],[422.62875366],[14.49444443],0.9749037234474325,1.0549539747981163
28,0.005,[70.81437441],[62.18326331],[422.64813232],[430.00500488],[430.00500488],[6.30076005],0.972106028881912,1.0549539747981163
29,0.005,[70.04348025],[76.03442809],[429.75302124],[421.40402222],[421.40402222],[15.74389143],0.9565175469638418,1.0549539747981163
30,0.005,[73.07928552],[64.65742399],[424.63970947],[439.66885376],[439.66885376],[4.09116109],0.9565175469638418,1.0549539747981163
31,0.005,[70.55232237],[79.77304964],[438.69326782],[424.46582031],[424.46582031],[18.88115616],0.9565175469638418,1.0549539747981163
32,0.005,[66.41569609],[86.72297498],[425.91662598],[399.57827759],[399.57827759],[28.46793152],0.9565175469638418,1.0549539747981163
33,0.005,[66.25251307],[63.38902056],[394.78601074],[398.59671021],[398.59671021],[8.80850425],0.9565175469638418,1.0549539747981163
34,0.005,[62.37854159],[80.20523303],[398.33694458],[375.28970337],[375.28970337],[25.03892593],0.9565175469638418,1.0549539747981163
35,0.005,[65.96403188],[51.25745592],[379.72976685],[396.86077881],[396.86077881],[1.84039454],0.9565175469638418,1.0549539747981163
36,0.005,[63.38107541],[73.55872875],[395.57617188],[381.32113647],[381.32113647],[17.72772644],0.9565175469638418,1.0549539747981163
37,0.005,[63.34989955],[60.76728728],[382.02090454],[381.13354492],[381.13354492],[10.77691489],0.9565175469638418,1.0549539747981163
38,0.005,[62.67118615],[67.52927546],[383.58602905],[377.04928589],[377.04928589],[13.6017425],0.9565175469638418,1.0549539747981163
39,0.005,[42.64223533],[78.58457646],[380.28421021],[341.27383423],[341.27383423],[40.91179703],0.9565175469638418,1.0317937074079937
40,0.005,[46.32590951],[32.91745473],[349.23245239],[370.75494385],[370.75494385],[0.],0.9565175469638418,1.0317937074079937
41,0.005,[50.70243165],[35.60670845],[375.01254272],[408.37033081],[408.37033081],[0.],0.9596883559268942,1.0317937074079937
42,0.005,[45.06817643],[83.88076147],[407.57192993],[362.99060059],[362.99060059],[46.619189],0.9596883559268942,1.0317937074079937
43,0.005,[43.6366728],[49.62109254],[366.01272583],[358.82705688],[358.82705688],[11.73816355],0.9596883559268942,1.030453103156782
44,0.005,[46.31605459],[44.13449927],[353.78341675],[378.59466553],[378.59466553],[0.],0.9630442358755187,1.030453103156782
45,0.005,[47.89970831],[35.10492524],[380.13708496],[414.26916504],[414.26916504],[0.],0.9705206470748471,1.0268108910166227
46,0.005,[47.51468053],[56.0411296],[419.49261475],[410.93914795],[410.93914795],[12.12832326],0.9705206470748471,1.0268108910166227
47,0.005,[46.81450348],[37.99181496],[402.02453613],[414.14648438],[414.14648438],[0.],0.9759042909214324,1.024835449571126
48,0.005,[48.58161707],[37.94859583],[415.50488281],[438.21115112],[438.21115112],[0.],0.9755594191905926,1.0242401374424257
49,0.005,[48.28960624],[55.52845636],[444.33346558],[435.57717896],[435.57717896],[11.80931535],0.9755594191905926,1.0242401374424257
50,0.005,[48.69709484],[47.92711629],[438.59466553],[439.25274658],[439.25274658],[6.0316703],0.9755594191905926,1.0242401374424257
