i,kappa,V0,VT,ST,S0,K_payoff,payoff,alpha_step,beta_step
0,0.0,[96.54875317],[97.82908873],[687.55230713],[687.10351562],[687.10351562],[26.00502018],0.9414570985455678,1.1050193499563612
1,0.0,[95.37304149],[99.85582771],[683.53326416],[678.73638916],[678.73638916],[27.41023314],0.9414570985455678,1.1050193499563612
2,0.0,[92.58268703],[101.83466463],[672.63995361],[658.87841797],[658.87841797],[30.20943448],0.9414570985455678,1.1050193499563612
3,0.0,[93.79264424],[88.61320018],[656.34283447],[667.48925781],[667.48925781],[20.68167913],0.9414570985455678,1.1050193499563612
4,0.0,[93.17089879],[97.27174745],[667.49926758],[663.06451416],[663.06451416],[26.67791953],0.9414570985455678,1.1050193499563612
5,0.0,[88.55355012],[108.14916352],[659.94232178],[630.20446777],[630.20446777],[35.45045579],0.9414570985455678,1.1050193499563612
6,0.0,[88.36685067],[90.75026119],[632.74291992],[628.87579346],[628.87579346],[25.16829656],0.9414570985455678,1.1050193499563612
7,0.0,[83.62113915],[101.50180671],[623.57073975],[595.10223389],[595.10223389],[33.62895477],0.9414570985455678,1.1050193499563612
8,0.0,[80.97268108],[88.8706888],[589.28161621],[576.25408936],[576.25408936],[26.81336041],0.9414570985455678,1.1050193499563612
9,0.0,[73.24717978],[118.23990751],[586.13079834],[521.27441406],[521.27441406],[64.85638428],0.9414570985455678,1.1050193499563612
10,0.0,[28.08211241],[34.59048873],[508.05587769],[557.58807373],[557.58807373],[0.],0.9701965262934844,1.0248655856782156
11,0.0,[30.30134529],[16.76534103],[557.4041748],[601.65234375],[601.65234375],[0.],0.9701965262934844,1.0248655856782156
12,0.0,[29.93745453],[36.73377555],[604.16583252],[594.42706299],[594.42706299],[13.49913252],0.9701965262934844,1.0248655856782156
13,0.0,[29.5714796],[28.53812671],[589.03533936],[593.65130615],[593.65130615],[5.41092637],0.9708763580426083,1.0248655856782156
14,0.0,[28.66420967],[41.8705815],[596.1072998],[575.43774414],[575.43774414],[20.66955566],0.9708763580426083,1.0248655856782156
15,0.0,[27.18364398],[34.35481756],[582.9039917],[572.09753418],[572.09753418],[13.53668877],0.9708763580426083,1.0231173145196455
16,0.0,[26.12558619],[41.63700385],[572.04846191],[549.83001709],[549.83001709],[22.21844482],0.9708763580426083,1.0231173145196455
17,0.0,[26.04227701],[29.24179084],[551.4654541],[548.07672119],[548.07672119],[8.99623826],0.9708763580426083,1.0231173145196455
18,0.0,[18.36430928],[26.29970315],[542.88604736],[537.67565918],[537.67565918],[7.30231287],0.9834716189411147,1.0206954129480679
19,0.0,[18.28858208],[21.29474086],[541.27008057],[535.45849609],[535.45849609],[7.55441079],0.9834716189411147,1.0206954129480679
20,0.0,[17.6537232],[31.20420472],[534.1015625],[516.87091064],[516.87091064],[17.23065186],0.9834716189411147,1.0206954129480679
21,0.0,[16.6557507],[39.6886154],[516.12890625],[487.65197754],[487.65197754],[28.47692871],0.9834716189411147,1.0206954129480679
22,0.0,[17.46406217],[15.20775041],[488.65756226],[503.45739746],[503.45739746],[0.],0.9829535743013266,1.0206954129480679
23,0.0,[17.93302706],[28.53618771],[500.67507935],[486.13183594],[486.13183594],[14.54324341],0.9799391694316036,1.0199079715411508
24,0.0,[17.10658141],[36.28502996],[488.56491089],[463.72839355],[463.72839355],[24.83651733],0.9799391694316036,1.0199079715411508
25,0.0,[19.60929489],[21.81045786],[459.64083862],[456.76013184],[456.76013184],[6.92719709],0.9755383624480582,1.0229321785892715
26,0.0,[22.26802998],[38.76758761],[457.51339722],[435.8692627],[435.8692627],[21.64413452],0.9755383624480582,1.031500761818298
27,0.0,[28.61544666],[40.19221274],[434.94842529],[422.62875366],[422.62875366],[12.31967163],0.9749038876984155,1.0549540649743174
28,0.0,[30.74800735],[27.28019407],[422.64816284],[430.00500488],[430.00500488],[5.34301801],0.9721062026558119,1.0549540649743174
29,0.0,[37.93716642],[42.58415358],[429.75296021],[421.40405273],[421.40405273],[14.12022655],0.9565173159533865,1.0549540649743174
30,0.0,[39.58146669],[33.77650802],[424.63977051],[439.66885376],[439.66885376],[3.66929213],0.9565173159533865,1.0549540649743174
31,0.0,[38.21280948],[47.86420887],[438.69329834],[424.46588135],[424.46588135],[16.93398017],0.9565173159533865,1.0549540649743174
32,0.0,[35.97228995],[55.0504131],[425.91662598],[399.57830811],[399.57830811],[26.33831787],0.9565173159533865,1.0549540649743174
33,0.0,[35.88392098],[34.60824094],[394.78601074],[398.59671021],[398.59671021],[7.90011429],0.9565173159533865,1.0549540649743174
34,0.0,[33.7856902],[49.22579612],[398.33691406],[375.28967285],[375.28967285],[23.04724121],0.9565173159533865,1.0549540649743174
35,0.0,[35.7276509],[26.52777508],[379.72979736],[396.86087036],[396.86087036],[1.65058677],0.9565173159533865,1.0549540649743174
36,0.0,[34.32867378],[43.9565071],[395.57623291],[381.32110596],[381.32110596],[15.8995546],0.9565173159533865,1.0549540649743174
37,0.0,[34.31178848],[35.25534703],[382.02093506],[381.13354492],[381.13354492],[9.66553988],0.9565173159533865,1.0549540649743174
38,0.0,[33.94410322],[39.31605973],[383.58602905],[377.04931641],[377.04931641],[12.19902031],0.9565173159533865,1.0549540649743174
39,0.0,[23.45695106],[57.14586447],[380.28417969],[341.27389526],[341.27389526],[39.01028442],0.9565173159533865,1.031793712808963
40,0.0,[25.48328897],[17.96251506],[349.23248291],[370.75497437],[370.75497437],[0.],0.9565173159533865,1.031793712808963
41,0.0,[26.60970983],[18.20091111],[375.01260376],[408.37026978],[408.37026978],[0.],0.9596887412892795,1.031793712808963
42,0.0,[23.65272896],[58.35853755],[407.57199097],[362.99047852],[362.99047852],[44.58151245],0.9596887412892795,1.031793712808963
43,0.0,[23.01869263],[30.07970622],[366.01269531],[358.8270874],[358.8270874],[10.44280074],0.9596887412892795,1.0304528660776089
44,0.0,[23.43829281],[23.7078696],[353.7833252],[378.59463501],[378.59463501],[0.],0.9630443810728383,1.0304528660776089
45,0.0,[21.29278557],[16.49388566],[380.13711548],[414.26922607],[414.26922607],[0.],0.9705210873832164,1.0268109708191493
46,0.0,[21.12162637],[27.89725931],[419.49255371],[410.93917847],[410.93917847],[10.36942294],0.9705210873832164,1.0268109708191493
